Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,WHH,WHD,WHA,HomeTeamLP,AwayTeamLP,MW,Sezon,H2H_Home,H2H_Away,H2H_Home_pts,H2H_Away_pts
2014-12-01,Verona,Napoli,0,3,A,34,38,27,20,3,3,W,W,D,W,L,W,D,W,D,W,3.8,3.2,2.05,18.0,2.0,21,14,WL,LW,3,3
2014-01-13,Inter,Chievo,1,1,D,37,13,22,23,0,1,L,W,L,D,D,D,L,L,W,W,1.44,4.0,8.0,9.0,12.0,21,14,WWW,LLL,9,0
2014-01-13,Sampdoria,Udinese,3,0,H,19,18,27,25,0,0,L,D,W,W,D,L,W,L,D,L,2.5,3.0,3.0,14.0,5.0,22,14,LLL,WWW,0,9
2014-01-18,Juventus,Sampdoria,4,2,H,46,22,12,27,3,3,W,W,W,W,W,W,L,D,W,W,1.18,6.5,17.0,1.0,14.0,22,14,LLW,WWL,3,6
2014-01-18,Roma,Livorno,3,0,H,39,16,10,33,3,0,W,L,W,D,W,L,L,L,L,D,1.2,6.0,15.0,6.0,18.0,22,14,LDW,WDL,4,4
2014-01-19,Atalanta,Cagliari,1,0,H,20,19,29,28,3,0,W,L,L,D,L,L,D,D,D,W,2.25,3.2,3.3,15.0,11.0,22,14,DDL,DDW,2,5
2014-01-19,Bologna,Napoli,2,2,D,17,41,33,20,1,3,D,L,W,L,L,W,W,D,W,D,5.0,3.8,1.67,13.0,2.0,22,14,WLL,LWW,3,6
2014-01-19,Catania,Fiorentina,0,3,A,13,34,34,20,0,1,L,W,L,D,L,D,W,W,W,L,3.6,3.4,2.05,8.0,4.0,22,14,LWL,WLW,3,6
2014-01-19,Chievo,Parma,1,2,A,14,29,24,26,1,3,D,D,L,L,W,W,W,D,D,D,2.9,3.0,2.6,12.0,10.0,22,14,LDD,WDD,2,5
2014-01-19,Genoa,Inter,1,0,H,19,38,24,23,0,1,L,W,L,D,L,D,L,W,L,D,3.8,3.3,2.0,17.0,9.0,22,14,DDL,DDW,2,5
2014-01-19,Milan,Verona,1,0,H,31,34,30,30,0,0,L,W,L,D,D,L,W,W,D,W,1.5,4.0,7.0,3.0,18.0,22,14,WWL,LLW,6,3
2014-01-19,Sassuolo,Torino,0,2,A,21,31,41,27,3,1,W,L,L,L,L,D,L,W,W,W,2.8,3.3,2.5,18.0,16.0,23,14,L,W,0,3
2014-01-19,Udinese,Lazio,2,3,A,18,23,28,26,0,1,L,L,W,L,D,D,W,L,W,L,2.4,3.1,3.1,5.0,7.0,23,14,LWL,WLW,3,6
2014-01-25,Lazio,Juventus,1,1,D,26,50,28,14,3,3,W,D,W,L,W,W,W,W,W,W,5.5,3.3,1.73,7.0,1.0,23,14,DLL,DWW,1,7
2014-01-25,Napoli,Chievo,1,1,D,43,15,22,26,1,0,D,W,W,D,W,L,D,D,L,L,1.3,5.0,11.0,2.0,12.0,23,14,WLW,LWL,6,3
2014-01-26,Cagliari,Milan,1,2,A,19,32,29,30,0,3,L,L,D,D,D,W,L,W,L,D,4.0,3.3,1.95,11.0,3.0,23,14,LDL,WDW,1,7
